[25-Apr-2024 18:08:51 UTC] PHP Fatal error:  Cannot redeclare enqueue_custom_styles() (previously declared in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\functions.php:5) in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 5
[25-Apr-2024 18:21:20 UTC] PHP Fatal error:  Cannot redeclare enqueue_custom_styles() (previously declared in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\functions.php:5) in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 5
[25-Apr-2024 18:22:36 UTC] PHP Fatal error:  Cannot redeclare enqueue_custom_styles() (previously declared in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\functions.php:5) in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 5
[25-Apr-2024 18:23:13 UTC] PHP Fatal error:  Cannot redeclare enqueue_custom_styles() (previously declared in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\functions.php:5) in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 5
[25-Apr-2024 18:25:07 UTC] PHP Warning:  Undefined variable $post_ids in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\functions.php on line 56
[25-Apr-2024 18:25:07 UTC] PHP Warning:  Undefined variable $orderby in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\functions.php on line 57
[25-Apr-2024 18:25:07 UTC] PHP Warning:  Undefined variable $category in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\functions.php on line 58
[25-Apr-2024 18:25:07 UTC] PHP Warning:  Undefined variable $format in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\functions.php on line 59
[25-Apr-2024 18:25:07 UTC] PHP Warning:  Attempt to read property "slug" on array in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 50
[25-Apr-2024 18:25:07 UTC] PHP Warning:  Attempt to read property "slug" on array in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 50
[25-Apr-2024 18:25:07 UTC] PHP Warning:  Attempt to read property "name" on array in C:\Users\abdel\Local Sites\nathalie-mota\app\public\wp-content\themes\nathalie-mota\front-page.php on line 50
